,PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Title,FamilySize,FamilyLabel,Deck,TicketGroup,Surname,FamilyGroup
167,168,0.0,3,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",female,45.0,1,4,347088,27.9,Unknown,S,Mrs,6,1,U,1,Skoog,6
171,172,0.0,3,"Rice, Master. Arthur",male,4.0,4,1,382652,29.125,Unknown,Q,Master,6,1,U,1,Rice,6
172,173,1.0,3,"Johnson, Miss. Eleanor Ileen",female,1.0,1,1,347742,11.1333,Unknown,S,Miss,3,2,U,2,Johnson,6
176,177,0.0,3,"Lefebre, Master. Henry Forbes",male,6.035598611570747,3,1,4133,25.4667,Unknown,S,Master,5,1,U,1,Lefebre,5
180,181,0.0,3,"Sage, Miss. Constance Gladys",female,17.333729506491817,8,2,CA. 2343,69.55,Unknown,S,Miss,11,0,U,0,Sage,11
182,183,0.0,3,"Asplund, Master. Clarence Gustaf Hugo",male,9.0,4,2,347077,31.3875,Unknown,S,Master,7,1,U,1,Asplund,8
183,184,1.0,2,"Becker, Master. Richard F",male,1.0,2,1,230136,39.0,F4,S,Master,4,2,F,2,Becker,4
184,185,1.0,3,"Kink-Heilmann, Miss. Luise Gretchen",female,4.0,0,2,315153,22.025,Unknown,S,Miss,3,2,U,2,Kink-Heilmann,3
186,187,1.0,3,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",female,32.49434306285119,1,0,370365,15.5,Unknown,Q,Mrs,2,2,U,2,O'Brien,3
193,194,1.0,2,"Navratil, Master. Michel M",male,3.0,1,1,230080,26.0,F2,S,Master,3,2,F,2,Navratil,3
194,195,1.0,1,"Brown, Mrs. James Joseph (Margaret Tobin)",female,44.0,0,0,PC 17610,27.7208,B4,C,Mrs,1,1,B,1,Brown,6
205,206,0.0,3,"Strom, Miss. Telma Matilda",female,2.0,0,1,347054,10.4625,G6,S,Miss,2,2,G,2,Strom,2
208,209,1.0,3,"Carr, Miss. Helen ""Ellen""",female,16.0,0,0,367231,7.75,Unknown,Q,Miss,1,1,U,1,Carr,2
215,216,1.0,1,"Newell, Miss. Madeleine",female,31.0,1,0,35273,113.275,D36,C,Miss,2,2,D,2,Newell,3
229,230,0.0,3,"Lefebre, Miss. Mathilde",female,17.333729506491817,3,1,4133,25.4667,Unknown,S,Miss,5,1,U,1,Lefebre,5
230,231,1.0,1,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",female,35.0,1,0,36973,83.475,C83,S,Mrs,2,2,C,2,Harris,4
233,234,1.0,3,"Asplund, Miss. Lillian Gertrud",female,5.0,4,2,347077,31.3875,Unknown,S,Miss,7,1,U,1,Asplund,8
237,238,1.0,2,"Collyer, Miss. Marjorie ""Lottie""",female,8.0,0,2,C.A. 31921,26.25,Unknown,S,Miss,3,2,U,2,Collyer,3
240,241,0.0,3,"Zabour, Miss. Thamine",female,17.333729506491817,1,0,2665,14.4542,Unknown,C,Miss,2,2,U,2,Zabour,2
241,242,1.0,3,"Murphy, Miss. Katherine ""Kate""",female,17.333729506491817,1,0,367230,15.5,Unknown,Q,Miss,2,2,U,2,Murphy,3
247,248,1.0,2,"Hamalainen, Mrs. William (Anna)",female,24.0,0,2,250649,14.5,Unknown,S,Mrs,3,2,U,2,Hamalainen,2
251,252,0.0,3,"Strom, Mrs. Wilhelm (Elna Matilda Persson)",female,29.0,1,1,347054,10.4625,G6,S,Mrs,3,2,G,2,Strom,2
254,255,0.0,3,"Rosblom, Mrs. Viktor (Helena Wilhelmina)",female,41.0,0,2,370129,20.2125,Unknown,S,Mrs,3,2,U,2,Rosblom,3
255,256,1.0,3,"Touma, Mrs. Darwis (Hanne Youssef Razi)",female,29.0,0,2,2650,15.2458,Unknown,C,Mrs,3,2,U,2,Touma,3
261,262,1.0,3,"Asplund, Master. Edvin Rojj Felix",male,3.0,4,2,347077,31.3875,Unknown,S,Master,7,1,U,1,Asplund,8
268,269,1.0,1,"Graham, Mrs. William Thompson (Edith Junkins)",female,58.0,0,1,PC 17582,153.4625,C125,S,Mrs,2,2,C,2,Graham,3
272,273,1.0,2,"Mellinger, Mrs. (Elizabeth Anne Maidment)",female,41.0,0,1,250644,19.5,Unknown,S,Mrs,2,2,U,2,Mellinger,2
275,276,1.0,1,"Andrews, Miss. Kornelia Theodosia",female,63.0,1,0,13502,77.9583,D7,S,Miss,2,2,D,2,Andrews,2
278,279,0.0,3,"Rice, Master. Eric",male,7.0,4,1,382652,29.125,Unknown,Q,Master,6,1,U,1,Rice,6
279,280,1.0,3,"Abbott, Mrs. Stanton (Rosa Hunt)",female,35.0,1,1,C.A. 2673,20.25,Unknown,S,Mrs,3,2,U,2,Abbott,3
289,290,1.0,3,"Connolly, Miss. Kate",female,22.0,0,0,370373,7.75,Unknown,Q,Miss,1,1,U,1,Connolly,2
291,292,1.0,1,"Bishop, Mrs. Dickinson H (Helen Walton)",female,19.0,1,0,11967,91.0792,B49,C,Mrs,2,2,B,2,Bishop,2
297,298,0.0,1,"Allison, Miss. Helen Loraine",female,2.0,1,2,113781,151.55,C22 C26,S,Miss,4,2,C,1,Allison,4
299,300,1.0,1,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",female,50.0,0,1,PC 17558,247.5208,B58 B60,C,Mrs,2,2,B,2,Baxter,2
300,301,1.0,3,"Kelly, Miss. Anna Katherine ""Annie Kate""",female,17.333729506491817,0,0,9234,7.75,Unknown,Q,Miss,1,1,U,1,Kelly,5
303,304,1.0,2,"Keane, Miss. Nora A",female,20.675191385898447,0,0,226593,12.35,E101,Q,Miss,1,1,E,1,Keane,3
305,306,1.0,1,"Allison, Master. Hudson Trevor",male,0.92,1,2,113781,151.55,C22 C26,S,Master,4,2,C,1,Allison,4
306,307,1.0,1,"Fleming, Miss. Margaret",female,30.116390384991725,0,0,17421,110.8833,Unknown,C,Miss,1,1,U,2,Fleming,2
307,308,1.0,1,"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",female,17.0,1,0,PC 17758,108.9,C65,C,Mrs,2,2,C,2,Penasco y Castellana,2
310,311,1.0,1,"Hays, Miss. Margaret Bechstein",female,24.0,0,0,11767,83.1583,C54,C,Miss,1,1,C,2,Hays,3
311,312,1.0,1,"Ryerson, Miss. Emily Borie",female,18.0,2,2,PC 17608,262.375,B57 B59 B63 B66,C,Miss,5,1,B,1,Ryerson,5
312,313,0.0,2,"Lahtinen, Mrs. William (Anna Sylfven)",female,26.0,1,1,250651,26.0,Unknown,S,Mrs,3,2,U,2,Lahtinen,2
315,316,1.0,3,"Nilsson, Miss. Helmina Josefina",female,26.0,0,0,347470,7.8542,Unknown,S,Miss,1,1,U,1,Nilsson,3
316,317,1.0,2,"Kantor, Mrs. Sinai (Miriam Sternin)",female,24.0,1,0,244367,26.0,Unknown,S,Mrs,2,2,U,2,Kantor,2
318,319,1.0,1,"Wick, Miss. Mary Natalie",female,31.0,0,2,36928,164.8667,C7,S,Miss,3,2,C,2,Wick,3
319,320,1.0,1,"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",female,40.0,1,1,16966,134.5,E34,C,Mrs,3,2,E,1,Spedden,3
323,324,1.0,2,"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)",female,22.0,1,1,248738,29.0,Unknown,S,Mrs,3,2,U,2,Caldwell,3
328,329,1.0,3,"Goldsmith, Mrs. Frank John (Emily Alice Brown)",female,31.0,1,1,363291,20.525,Unknown,S,Mrs,3,2,U,2,Goldsmith,4
329,330,1.0,1,"Hippach, Miss. Jean Gertrude",female,16.0,0,1,111361,57.9792,B18,C,Miss,2,2,B,2,Hippach,2
330,331,1.0,3,"McCoy, Miss. Agnes",female,17.333729506491817,2,0,367226,23.25,Unknown,Q,Miss,3,2,U,2,McCoy,3
334,335,1.0,1,"Frauenthal, Mrs. Henry William (Clara Heinsheimer)",female,43.11469647488398,1,0,PC 17611,133.65,Unknown,S,Mrs,2,2,U,2,Frauenthal,3
337,338,1.0,1,"Burns, Miss. Elizabeth Margaret",female,41.0,0,0,16966,134.5,E40,C,Miss,1,1,E,1,Burns,2
340,341,1.0,2,"Navratil, Master. Edmond Roger",male,2.0,1,1,230080,26.0,F2,S,Master,3,2,F,2,Navratil,3
341,342,1.0,1,"Fortune, Miss. Alice Elizabeth",female,24.0,3,2,19950,263.0,C23 C25 C27,S,Miss,6,1,C,1,Fortune,6
345,346,1.0,2,"Brown, Miss. Amelia ""Mildred""",female,24.0,0,0,248733,13.0,F33,S,Miss,1,1,F,1,Brown,6
346,347,1.0,2,"Smith, Miss. Marion Elsie",female,40.0,0,0,31418,13.0,Unknown,S,Miss,1,1,U,1,Smith,6
347,348,1.0,3,"Davison, Mrs. Thomas Henry (Mary E Finck)",female,32.49434306285119,1,0,386525,16.1,Unknown,S,Mrs,2,2,U,2,Davison,2
348,349,1.0,3,"Coutts, Master. William Loch ""William""",male,3.0,1,1,C.A. 37671,15.9,Unknown,S,Master,3,2,U,2,Coutts,3
362,363,0.0,3,"Barbara, Mrs. (Catherine David)",female,45.0,0,1,2691,14.4542,Unknown,C,Mrs,2,2,U,2,Barbara,2
366,367,1.0,1,"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)",female,60.0,1,0,110813,75.25,D37,C,Mrs,2,2,D,2,Warren,3
374,375,0.0,3,"Palsson, Miss. Stina Viola",female,3.0,3,1,349909,21.075,Unknown,S,Miss,5,1,U,1,Palsson,5
375,376,1.0,1,"Meyer, Mrs. Edgar Joseph (Leila Saks)",female,43.11469647488398,1,0,PC 17604,82.1708,Unknown,C,Mrs,2,2,U,2,Meyer,3
381,382,1.0,3,"Nakid, Miss. Maria (""Mary"")",female,1.0,0,2,2653,15.7417,Unknown,C,Miss,3,2,U,2,Nakid,3
383,384,1.0,1,"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)",female,35.0,1,0,113789,52.0,Unknown,S,Mrs,2,2,U,2,Holverson,2
386,387,0.0,3,"Goodwin, Master. Sidney Leonard",male,1.0,5,2,CA 2144,46.9,Unknown,S,Master,8,0,U,1,Goodwin,8
393,394,1.0,1,"Newell, Miss. Marjorie",female,23.0,1,0,35273,113.275,D36,C,Miss,2,2,D,2,Newell,3
394,395,1.0,3,"Sandstrom, Mrs. Hjalmar (Agnes Charlotta Bengtsson)",female,24.0,0,2,PP 9549,16.7,G6,S,Mrs,3,2,G,2,Sandstrom,3
396,397,0.0,3,"Olsson, Miss. Elina",female,31.0,0,0,350407,7.8542,Unknown,S,Miss,1,1,U,1,Olsson,3
402,403,0.0,3,"Jussila, Miss. Mari Aina",female,21.0,1,0,4137,9.825,Unknown,S,Miss,2,2,U,1,Jussila,3
404,405,0.0,3,"Oreskovic, Miss. Marija",female,20.0,0,0,315096,8.6625,Unknown,S,Miss,1,1,U,1,Oreskovic,3
407,408,1.0,2,"Richards, Master. William Rowe",male,3.0,1,1,29106,18.75,Unknown,S,Master,3,2,U,2,Richards,3
409,410,0.0,3,"Lefebre, Miss. Ida",female,17.333729506491817,3,1,4133,25.4667,Unknown,S,Miss,5,1,U,1,Lefebre,5
412,413,1.0,1,"Minahan, Miss. Daisy E",female,33.0,1,0,19928,90.0,C78,Q,Miss,2,2,C,2,Minahan,3
416,417,1.0,2,"Drew, Mrs. James Vivian (Lulu Thorne Christian)",female,34.0,1,1,28220,32.5,Unknown,S,Mrs,3,2,U,2,Drew,3
419,420,0.0,3,"Van Impe, Miss. Catharina",female,10.0,0,2,345773,24.15,Unknown,S,Miss,3,2,U,2,Van Impe,3
423,424,0.0,3,"Danbom, Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren)",female,28.0,1,1,347080,14.4,Unknown,S,Mrs,3,2,U,2,Danbom,3
426,427,1.0,2,"Clarke, Mrs. Charles V (Ada Maria Winfield)",female,28.0,1,0,2003,26.0,Unknown,S,Mrs,2,2,U,2,Clarke,2
427,428,1.0,2,"Phillips, Miss. Kate Florence (""Mrs Kate Louise Phillips Marshall"")",female,19.0,0,0,250655,26.0,Unknown,S,Miss,1,1,U,2,Phillips,3
431,432,1.0,3,"Thorneycroft, Mrs. Percival (Florence Kate White)",female,32.49434306285119,1,0,376564,16.1,Unknown,S,Mrs,2,2,U,2,Thorneycroft,2
432,433,1.0,2,"Louch, Mrs. Charles Alexander (Alice Adelaide Slow)",female,42.0,1,0,SC/AH 3085,26.0,Unknown,S,Mrs,2,2,U,2,Louch,2
435,436,1.0,1,"Carter, Miss. Lucile Polk",female,14.0,1,2,113760,120.0,B96 B98,S,Miss,4,2,B,2,Carter,6
436,437,0.0,3,"Ford, Miss. Doolina Margaret ""Daisy""",female,21.0,2,2,W./C. 6608,34.375,Unknown,S,Miss,5,1,U,1,Ford,6
437,438,1.0,2,"Richards, Mrs. Sidney (Emily Hocking)",female,24.0,2,3,29106,18.75,Unknown,S,Mrs,6,1,U,2,Richards,3
440,441,1.0,2,"Hart, Mrs. Benjamin (Esther Ada Bloomfield)",female,45.0,1,1,F.C.C. 13529,26.25,Unknown,S,Mrs,3,2,U,2,Hart,4
445,446,1.0,1,"Dodge, Master. Washington",male,4.0,0,2,33638,81.8583,A34,S,Master,3,2,A,2,Dodge,3
446,447,1.0,2,"Mellinger, Miss. Madeleine Violet",female,13.0,0,1,250644,19.5,Unknown,S,Miss,2,2,U,2,Mellinger,2
448,449,1.0,3,"Baclini, Miss. Marie Catherine",female,5.0,2,1,2666,19.2583,Unknown,C,Miss,4,2,U,2,Baclini,4
457,458,1.0,1,"Kenyon, Mrs. Frederick R (Marion)",female,43.11469647488398,1,0,17464,51.8625,D21,S,Mrs,2,2,D,2,Kenyon,2
469,470,1.0,3,"Baclini, Miss. Helene Barbara",female,0.75,2,1,2666,19.2583,Unknown,C,Miss,4,2,U,2,Baclini,4
472,473,1.0,2,"West, Mrs. Edwy Arthur (Ada Mary Worth)",female,33.0,1,2,C.A. 34651,27.75,Unknown,S,Mrs,4,2,U,2,West,4
479,480,1.0,3,"Hirvonen, Miss. Hildur E",female,2.0,0,1,3101298,12.2875,Unknown,S,Miss,2,2,U,2,Hirvonen,2
480,481,0.0,3,"Goodwin, Master. Harold Victor",male,9.0,5,2,CA 2144,46.9,Unknown,S,Master,8,0,U,1,Goodwin,8
485,486,0.0,3,"Lefebre, Miss. Jeannie",female,17.333729506491817,3,1,4133,25.4667,Unknown,S,Miss,5,1,U,1,Lefebre,5
486,487,1.0,1,"Hoyt, Mrs. Frederick Maxfield (Jane Anne Forby)",female,35.0,1,0,19943,90.0,C93,S,Mrs,2,2,C,2,Hoyt,3
489,490,1.0,3,"Coutts, Master. Eden Leslie ""Neville""",male,9.0,1,1,C.A. 37671,15.9,Unknown,S,Master,3,2,U,2,Coutts,3
498,499,0.0,1,"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)",female,25.0,1,2,113781,151.55,C22 C26,S,Mrs,4,2,C,1,Allison,4
501,502,0.0,3,"Canavan, Miss. Mary",female,21.0,0,0,364846,7.75,Unknown,Q,Miss,1,1,U,1,Canavan,2
506,507,1.0,2,"Quick, Mrs. Frederick Charles (Jane Richards)",female,33.0,0,2,26360,26.0,Unknown,S,Mrs,3,2,U,2,Quick,3
513,514,1.0,1,"Rothschild, Mrs. Martin (Elizabeth L. Barrett)",female,54.0,1,0,PC 17603,59.4,Unknown,C,Mrs,2,2,U,2,Rothschild,2
518,519,1.0,2,"Angle, Mrs. William A (Florence ""Mary"" Agnes Hughes)",female,36.0,1,0,226875,26.0,Unknown,S,Mrs,2,2,U,2,Angle,2
523,524,1.0,1,"Hippach, Mrs. Louis Albert (Ida Sophia Fischer)",female,44.0,0,1,111361,57.9792,B18,C,Mrs,2,2,B,2,Hippach,2
530,531,1.0,2,"Quick, Miss. Phyllis May",female,2.0,1,1,26360,26.0,Unknown,S,Miss,3,2,U,2,Quick,3
533,534,1.0,3,"Peter, Mrs. Catherine (Catherine Rizk)",female,32.49434306285119,0,2,2668,22.3583,Unknown,C,Mrs,3,2,U,2,Peter,3
534,535,0.0,3,"Cacic, Miss. Marija",female,30.0,0,0,315084,8.6625,Unknown,S,Miss,1,1,U,1,Cacic,4
535,536,1.0,2,"Hart, Miss. Eva Miriam",female,7.0,0,2,F.C.C. 13529,26.25,Unknown,S,Miss,3,2,U,2,Hart,4
540,541,1.0,1,"Crosby, Miss. Harriet R",female,36.0,0,2,WE/P 5735,71.0,B22,S,Miss,3,2,B,2,Crosby,3
541,542,0.0,3,"Andersson, Miss. Ingeborg Constanzia",female,9.0,4,2,347082,31.275,Unknown,S,Miss,7,1,U,1,Andersson,11
542,543,0.0,3,"Andersson, Miss. Sigrid Elisabeth",female,11.0,4,2,347082,31.275,Unknown,S,Miss,7,1,U,1,Andersson,11
546,547,1.0,2,"Beane, Mrs. Edward (Ethel Clarke)",female,19.0,1,0,2908,26.0,Unknown,S,Mrs,2,2,U,2,Beane,2
549,550,1.0,2,"Davies, Master. John Morgan Jr",male,8.0,1,1,C.A. 33112,36.75,Unknown,S,Master,3,2,U,2,Davies,7
556,557,1.0,1,"Duff Gordon, Lady. (Lucille Christiana Sutherland) (""Mrs Morgan"")",female,48.0,1,0,11755,39.6,A16,C,Royalt,2,2,A,1,Duff Gordon,2
558,559,1.0,1,"Taussig, Mrs. Emil (Tillie Mandelbaum)",female,39.0,1,1,110413,79.65,E67,S,Mrs,3,2,E,2,Taussig,3
559,560,1.0,3,"de Messemaeker, Mrs. Guillaume Joseph (Emma)",female,36.0,1,0,345572,17.4,Unknown,S,Mrs,2,2,U,2,de Messemaeker,2
567,568,0.0,3,"Palsson, Mrs. Nils (Alma Cornelia Berglund)",female,29.0,0,4,349909,21.075,Unknown,S,Mrs,5,1,U,1,Palsson,5
573,574,1.0,3,"Kelly, Miss. Mary",female,17.333729506491817,0,0,14312,7.75,Unknown,Q,Miss,1,1,U,1,Kelly,5
577,578,1.0,1,"Silvey, Mrs. William Baird (Alice Munger)",female,39.0,1,0,13507,55.9,E44,S,Mrs,2,2,E,2,Silvey,2
578,579,0.0,3,"Caram, Mrs. Joseph (Maria Elias)",female,32.49434306285119,1,0,2689,14.4583,Unknown,C,Mrs,2,2,U,2,Caram,2
580,581,1.0,2,"Christy, Miss. Julie Rachel",female,25.0,1,1,237789,30.0,Unknown,S,Miss,3,2,U,2,Christy,2
581,582,1.0,1,"Thayer, Mrs. John Borland (Marian Longstreth Morris)",female,39.0,1,1,17421,110.8833,C68,C,Mrs,3,2,C,2,Thayer,3
585,586,1.0,1,"Taussig, Miss. Ruth",female,18.0,0,2,110413,79.65,E68,S,Miss,3,2,E,2,Taussig,3
593,594,0.0,3,"Bourke, Miss. Mary",female,17.333729506491817,0,2,364848,7.75,Unknown,Q,Miss,3,2,U,1,Bourke,3
600,601,1.0,2,"Jacobsohn, Mrs. Sidney Samuel (Amy Frances Christy)",female,24.0,2,1,243847,27.0,Unknown,S,Mrs,4,2,U,2,Jacobsohn,2
608,609,1.0,2,"Laroche, Mrs. Joseph (Juliette Marie Louise Lafargue)",female,22.0,1,2,SC/Paris 2123,41.5792,Unknown,C,Mrs,4,2,U,2,Laroche,4
610,611,0.0,3,"Andersson, Mrs. Anders Johan (Alfrida Konstantia Brogren)",female,39.0,1,5,347082,31.275,Unknown,S,Mrs,7,1,U,1,Andersson,11
612,613,1.0,3,"Murphy, Miss. Margaret Jane",female,17.333729506491817,1,0,367230,15.5,Unknown,Q,Miss,2,2,U,2,Murphy,3
615,616,1.0,2,"Herman, Miss. Alice",female,24.0,1,2,220845,65.0,Unknown,S,Miss,4,2,U,1,Herman,4
617,618,0.0,3,"Lobb, Mrs. William Arthur (Cordelia K Stanlick)",female,26.0,1,0,A/5. 3336,16.1,Unknown,S,Mrs,2,2,U,2,Lobb,2
618,619,1.0,2,"Becker, Miss. Marion Louise",female,4.0,2,1,230136,39.0,F4,S,Miss,4,2,F,2,Becker,4
