,Age,Pclass,Sex,Parch,SibSp,Fare,AgeAge
1164,,3,0,0,1,15.5,25.88354405384074
1165,,3,1,0,0,7.225,28.856687876348897
1173,,3,0,0,0,7.75,26.09496115072814
1177,,3,1,0,0,7.25,28.855709648336113
1179,,3,1,0,0,7.2292,28.85652394092248
1180,,3,1,0,0,8.05,28.82439142447361
1181,,1,1,0,0,39.6,44.28133019101922
1183,,3,1,0,0,7.2292,28.85652394092248
1188,,3,1,0,2,21.6792,23.927698774371596
1192,,2,1,0,0,15.0458,33.94105972028094
1195,,3,0,0,0,7.75,26.09496115072814
1203,,3,1,0,0,7.575,28.842986553251553
1223,,3,1,0,0,7.225,28.856687876348897
1230,,3,1,0,0,7.2292,28.85652394092248
1233,,3,1,9,1,69.55,69.83146832207044
1235,,3,1,1,1,14.5,18.12649371517174
1248,,3,1,0,0,7.8792,28.831077111005353
1249,,3,1,0,0,7.75,28.83613538523571
1256,,3,0,9,1,69.55,74.02095793694416
1257,,3,1,0,1,14.4583,25.987712942084475
1271,,3,1,0,0,7.75,28.83613538523571
1273,,3,0,0,0,14.5,25.360405049775586
1275,,2,1,0,0,12.875,34.17074546121413
1299,,3,0,0,0,7.7208,26.09813899232092
1301,,3,0,0,0,7.75,26.09496115072814
1304,,3,1,0,0,8.05,28.82439142447361
1307,,3,1,0,0,8.05,28.82439142447361
1308,,3,1,1,1,22.3583,18.750306024378435
